X,Y,Z,Name,24,EasyPay
24.0132819,49.8342625,0,"вул. Глибока, 2","вул. Глибока, 20 (у магазині ""Близенько"") вул. С. Бандери, 29","вул. Бандери, 29"
24.0115997,49.8384103,0,вул. Озаркевича,,"вул. Городоцька, 50; вул. Листопадового Чину, 11 (маг. ""Маркет"")"
24.0414109,49.8358163,0,вул. Тершаковців,"вул. Тершаковців, 1","вул. Пекарська, 33, вул. К.Левицького, 37,вул. Тершаковців,1"
24.0306417,49.8308332,0,вул. Є.Гладишевського,"вул. І.Франка,69 (у магазині ""Близенько"")","вул. І. Франка, 66"
24.0163554,49.8442785,0,вул. Вільна,"вул. Шевченка, 14","вул. Шевченка, 12, вул. Клепарівська, 16 (біля входу у Краківський ринок)"
24.0125931,49.8336059,0,вул. Новий Світ,"вул. Степана Бандери, 29 (у магазині ""Близенько"")","вул. Київська,5"
24.0360074,49.8265389,0,вул. Снопківська,,"вул. Шота Руставеллі,40 ( у магазині ""Рукавичка"")"
24.0316427,49.8313889,0,вул. Кобилянської,,"вул. І. Франка, 66"
24.0161287,49.8362993,0,вул. Устияновича,,"вул. С. Бандери, 17"
24.0293932,49.8292133,0,вул. Турецька,,навпроти буд.18 на вул. Зарицьких
24.0184489,49.8368704,0,вул. Ірини Фаріон,,"вул. Дорошенка, 37 (у маг. ""Рукавичка""), вул. Листопадового Чину, 11"
24.0488148,49.8400837,0,вул. Кармалюка,,
24.075217,49.8357368,0,вул. Личаківська,,
24.0075638,49.8377055,0,вул. Меретина,,
24.0577201,49.795281,0,просп. Червоної Калини,,"<br>- пр.Червоної Калини,61,"
24.0501915,49.7982502,0,просп. Червоної Калини,,"<br>- пр.Червоної Калини, 36 (біля аптеки Пульс), - пр.Червоної Калини, 54 (вхід у торговий центр GREAT)"
24.0405609,49.8727169,0,"вул. Гетьмана Мазепи, 25а",,"<br>- вул. Гетьмана Мазепи, 25 Д (у маркеті Сім23)"
24.0067772,49.8394358,0,вул. Сембратовичів,,
24.0051389,49.8484102,0,вул. Михайла Яцкова,,"вул. Шевченка,80 (у магаз. ""Близенько"")"
24.0065834,49.8316632,0,вул. Єфремова,,"вул. Коновальця,50,"
24.0031656,49.8488002,0,вул. Турянського,,"вул. Шевченка,49, вул. Шевченка,51"
24.028365,49.8538099,0,вул. Замарстинівська,"Замарстинівська, 43 (супермаркет ""Рукавичка""), вул. Замарстинівська, 55 (магазин ""Близенько"")","вул. Замарстинівська,43 (супермаркет ""Рукавичка""), вул. Замарстинівська, 79 ( у приміщенні медичного протезно ортопедичного центру)"
24.0104917,49.8325523,0,вул. Здоров'я,"вул. Глибока, 20 ( у магазині ""Близенько"")","вул. Київська,5"
24.0268136,49.8509631,0,вул. Долинського,,"вул. Замарстинівська,36 (біля магазину ""Овації"")"
24.0239991,49.8540139,0,вул. Хімічна,"Замарстинівська, 43 (супермаркет ""Рукавичка"")","вул.Хімічна,22 (біля аптеки ""Знахар""), Замарстинівська,43 (супермаркет ""Рукавичка"")"
24.0042899,49.8382797,0,вул. Братів Міхновських,"вул. Братів Міхновських, 23 (у магазині ""Близенько""), вул. Шараневича, 1 (магазин ""Наш маркет"")","вул.Городоцька,94;Вул. Городоцька,92"
24.0200619,49.8590775,0,"просп.Чорновола, 65",,"пр. Чорновола 67А, пр. Чорновола, 14 (АЗК ""ОККО""), вул. Окуневського, 3"
24.0220075,49.8552175,0,"просп. В. Чорновола, 45",,"пр. В. Чорновола,45, пр. Чорновола, 16І (вхід у Гіпермаркет ""Ашан"")"
24.0331602,49.8739881,0,вул. Пилипа Орлика,,"вул. Гетьмана Мазепи, 11а"
23.9952144,49.8387433,0,пл. Двірцева,<br>Чернівецька 17 (у магазині Близенько),"Чернівецька,13 (у магазині ""Продукти Кулінарія""),Чернівецька 17 (біля ""Близенько"")"
